DisNo.,Disaster Group,Disaster Subgroup,Disaster Type,Disaster Subtype,Event Name,Location,Start Year,Start Month,End Year,End Month,Total Deaths,No. Injured,No. Affected,Total Affected,Total Damage ('000 US$)
1900-9001-IND,Natural,Climatological,Drought,Drought,,Bengal,1900,,,1900,,1250000,,1250000,
1905-0003-IND,Natural,Geophysical,Earthquake,Ground movement,,Kangra,1905,4,1905,4,20000,,,20000,25000
1916-0004-IND,Natural,Meteorological,Storm,Tropical cyclone,,Cuddalore/Pondicherry,1916,11,1916,11,300,,,300,
1924-0003-IND,Natural,Meteorological,Storm,Tropical cyclone,,Punjab province,1924,9,1924,9,1242,,1000000,1000000,
1942-0009-IND,Natural,Meteorological,Storm,Tropical cyclone,,Orissa/West Bengal,1942,10,1942,10,40000,,,40000,
1950-0008-IND,Natural,Geophysical,Earthquake,Ground movement,,Assam province,1950,8,1950,8,1500,,,1500,20000
1963-0019-IND,Natural,Meteorological,Storm,Storm (General),,Orissa/Uttar Pradesh/Punjab,1963,9,1963,9,200,,5000000,5000000,
1967-0055-IND,Natural,Hydrological,Flood,Flood (General),,North/Central India,1967,9,1967,9,300,,1000000,1000000,
1967-0077-IND,Natural,Geophysical,Earthquake,Ground movement,,Maharashtra Koynana,1967,12,1967,12,177,2272,50000,52272,400
1968-0055-IND,Natural,Hydrological,Flood,Flash flood,,Rajasthan/Gujarat/NE India,1968,7,1968,7,4892,,7500000,7500000,94200
1971-0058-IND,Natural,Meteorological,Storm,Tropical cyclone,,East coast Orissa,1971,10,1971,10,9658,,4900000,6900000,30000
1977-0133-IND,Natural,Meteorological,Storm,Tropical cyclone,,Tamil Nadu/Andhra Pradesh/Kerala,1977,11,1977,11,14204,,9037400,14469800,498535
1978-0087-IND,Natural,Hydrological,Flood,Flood (General),,North/Northeast India,1978,7,1978,7,3800,,32000000,32000000,165000
1979-0051-IND,Natural,Meteorological,Storm,Tropical cyclone,,Andhra Pradesh,1979,5,1979,5,594,,1605772,1605772,12800
1982-0087-IND,Natural,Hydrological,Flood,Flood (General),,Northeast India,1982,8,1982,8,932,,33500000,33500000,700000
1987-0137-IND,Natural,Hydrological,Flood,Riverine flood,,Assam/Bihar/West Bengal,1987,8,1987,8,1200,,18000000,18000000,545000
1988-0382-IND,Natural,Geophysical,Earthquake,Ground movement,,Bihar State,1988,8,1988,8,382,3766,20000000,20003766,71500
